,Scientific name,Common name,TypeLocality
0, ,,
1, ,,
2,Tachyglossus ,,
3,Tachyglossus aculeatus,Short-beaked Echidna,"Australia, New South Wales, New Holland (= Sydney)."
4,Tachyglossus aculeatus,,"Australia, New South Wales, New Holland (= Sydney)."
5,Tachyglossus aculeatus,,
6,Tachyglossus aculeatus,,
7,Tachyglossus aculeatus,,
8,Tachyglossus aculeatus,,
9,Zaglossus ,,
10,Zaglossus attenboroughi,Sir David’s Long-beaked Echidna.,"Indonesia, Prov. of Papua (= Irian Jaya), Cyclops Mtns, ""Oost-top, Berg Rara, 1600 m""."
11,Zaglossus bartoni,Eastern Long-beaked Echidna,"Papua New Guinea, Albert Edward Range, Mount Victoria, 8,000 ft (2438 m)."
12,Zaglossus bartoni,,"Papua New Guinea, Albert Edward Range, Mount Victoria, 8,000 ft (2438 m)."
13,Zaglossus bartoni,,
14,Zaglossus bartoni,,
15,Zaglossus bartoni,,
16,Zaglossus bruijni,Western Long-beaked Echidna.,"Indonesia, Prov. of Papua (= Irian Jaya), Vogelkop, Manokwari Div., Arfak Mtns."
17, ,,
18,Ornithorhynchus ,,
19,Ornithorhynchus anatinus,,"Australia, New South Wales, New Holland (= Sydney)."
20, ,,
21, ,,
22, ,,
23,Caluromys ,,
24,Caluromys ,,
25,Caluromys ,,
26,Caluromys derbianus,Derby’s Woolly Opossum,"None given; restricted to Colombia, Cauca, Cauca Valley (Cabrera, 1958:2)."
27,Caluromys derbianus,,"None given; restricted to Colombia, Cauca, Cauca Valley (Cabrera, 1958:2)."
28,Caluromys derbianus,,
29,Caluromys derbianus,,
30,Caluromys derbianus,,
31,Caluromys derbianus,,
32,Caluromys derbianus,,
33,Caluromys lanatus,Brown-eared Woolly Opossum,"""Paraguay;"" restricted to Caazapá, Caazapá (Cabrera, 1916)."
34,Caluromys lanatus,,"""Paraguay;"" restricted to Caazapá, Caazapá (Cabrera, 1916)."
35,Caluromys lanatus,,
36,Caluromys lanatus,,
37,Caluromys lanatus,,
38,Caluromys lanatus,,
39,Caluromys lanatus,,
40,Caluromys philander,Bare-tailed Woolly Opossum,"""America;"" restricted to Surinam (Thomas, 1911<i>a</i>)."
41,Caluromys philander,,"""America;"" restricted to Surinam (Thomas, 1911<i>a</i>)."
42,Caluromys philander,,
43,Caluromys philander,,
44,Caluromys philander,,
45,Caluromysiops ,,
46,Caluromysiops irrupta,Black-shouldered Opossum,"Perú, Cuzco, ""Quincemil, Province of Quispicanchis."""
47,Glironia ,,
48,Glironia venusta,Bushy-tailed Opossum,"Perú, Pasco, ""Pozuzo."""
49, ,,
50,Chironectes ,,
51,Chironectes minimus,Water Opossum,"""Gujana;"" restricted to Cayenne, French Guiana (Cabrera, 1958:44)."
52,Chironectes minimus,,"""Gujana;"" restricted to Cayenne, French Guiana (Cabrera, 1958:44)."
53,Chironectes minimus,,
